Filling queue with 20000 CIFAR images before starting to train. This will take a few minutes.
2017-06-02 02:39:50.628444: step 0, loss = 4.68 (69.5 examples/sec; 1.843 sec/batch)
2017-06-02 02:39:51.382247: step 10, loss = 4.60 (1698.0 examples/sec; 0.075 sec/batch)
2017-06-02 02:39:52.261502: step 20, loss = 4.51 (1455.8 examples/sec; 0.088 sec/batch)
2017-06-02 02:39:53.151267: step 30, loss = 4.38 (1438.6 examples/sec; 0.089 sec/batch)
2017-06-02 02:39:54.034692: step 40, loss = 4.34 (1449.0 examples/sec; 0.088 sec/batch)
2017-06-02 02:39:54.927137: step 50, loss = 4.27 (1434.2 examples/sec; 0.089 sec/batch)
2017-06-02 02:39:55.812914: step 60, loss = 4.20 (1445.0 examples/sec; 0.089 sec/batch)
2017-06-02 02:39:56.691027: step 70, loss = 4.32 (1457.7 examples/sec; 0.088 sec/batch)
2017-06-02 02:39:57.570790: step 80, loss = 4.14 (1454.9 examples/sec; 0.088 sec/batch)
2017-06-02 02:39:58.463590: step 90, loss = 4.08 (1433.7 examples/sec; 0.089 sec/batch)
2017-06-02 02:39:59.474929: step 100, loss = 4.02 (1265.6 examples/sec; 0.101 sec/batch)
2017-06-02 02:40:00.233157: step 110, loss = 3.98 (1688.2 examples/sec; 0.076 sec/batch)
2017-06-02 02:40:01.121498: step 120, loss = 4.01 (1440.9 examples/sec; 0.089 sec/batch)
2017-06-02 02:40:02.015462: step 130, loss = 3.97 (1431.8 examples/sec; 0.089 sec/batch)
2017-06-02 02:40:02.891544: step 140, loss = 3.99 (1461.0 examples/sec; 0.088 sec/batch)
2017-06-02 02:40:03.795577: step 150, loss = 4.04 (1415.9 examples/sec; 0.090 sec/batch)
2017-06-02 02:40:04.672278: step 160, loss = 4.04 (1460.0 examples/sec; 0.088 sec/batch)
2017-06-02 02:40:05.560835: step 170, loss = 3.77 (1440.5 examples/sec; 0.089 sec/batch)
2017-06-02 02:40:06.434243: step 180, loss = 4.06 (1465.5 examples/sec; 0.087 sec/batch)
2017-06-02 02:40:07.339965: step 190, loss = 3.86 (1413.2 examples/sec; 0.091 sec/batch)
2017-06-02 02:40:08.340603: step 200, loss = 3.84 (1279.2 examples/sec; 0.100 sec/batch)
2017-06-02 02:40:09.111136: step 210, loss = 3.83 (1661.2 examples/sec; 0.077 sec/batch)
2017-06-02 02:40:10.003126: step 220, loss = 3.69 (1435.0 examples/sec; 0.089 sec/batch)
2017-06-02 02:40:10.891899: step 230, loss = 3.75 (1440.2 examples/sec; 0.089 sec/batch)
2017-06-02 02:40:11.776154: step 240, loss = 3.66 (1447.5 examples/sec; 0.088 sec/batch)
