Filling queue with 20000 CIFAR images before starting to train. This will take a few minutes.
2017-06-02 15:31:30.133263: step 0, loss = 4.68 (66.3 examples/sec; 1.930 sec/batch)
2017-06-02 15:31:30.899170: step 10, loss = 4.62 (1671.1 examples/sec; 0.077 sec/batch)
2017-06-02 15:31:31.776251: step 20, loss = 4.37 (1459.4 examples/sec; 0.088 sec/batch)
2017-06-02 15:31:32.668686: step 30, loss = 4.35 (1434.3 examples/sec; 0.089 sec/batch)
2017-06-02 15:31:33.552299: step 40, loss = 4.35 (1448.6 examples/sec; 0.088 sec/batch)
2017-06-02 15:31:34.428233: step 50, loss = 4.26 (1461.3 examples/sec; 0.088 sec/batch)
2017-06-02 15:31:35.299510: step 60, loss = 4.17 (1469.1 examples/sec; 0.087 sec/batch)
2017-06-02 15:31:36.181320: step 70, loss = 4.23 (1451.6 examples/sec; 0.088 sec/batch)
2017-06-02 15:31:37.069249: step 80, loss = 4.13 (1441.6 examples/sec; 0.089 sec/batch)
2017-06-02 15:31:37.941622: step 90, loss = 4.07 (1467.2 examples/sec; 0.087 sec/batch)
2017-06-02 15:31:38.937722: step 100, loss = 4.13 (1285.0 examples/sec; 0.100 sec/batch)
2017-06-02 15:31:39.695465: step 110, loss = 4.06 (1689.2 examples/sec; 0.076 sec/batch)
2017-06-02 15:31:40.575453: step 120, loss = 4.19 (1454.6 examples/sec; 0.088 sec/batch)
2017-06-02 15:31:41.460648: step 130, loss = 3.90 (1446.0 examples/sec; 0.089 sec/batch)
2017-06-02 15:31:42.340355: step 140, loss = 4.12 (1455.0 examples/sec; 0.088 sec/batch)
2017-06-02 15:31:43.234767: step 150, loss = 4.07 (1431.1 examples/sec; 0.089 sec/batch)
2017-06-02 15:31:44.121827: step 160, loss = 4.01 (1443.0 examples/sec; 0.089 sec/batch)
2017-06-02 15:31:45.003966: step 170, loss = 4.01 (1451.0 examples/sec; 0.088 sec/batch)
2017-06-02 15:31:45.879213: step 180, loss = 3.91 (1462.4 examples/sec; 0.088 sec/batch)
2017-06-02 15:31:46.766617: step 190, loss = 3.85 (1442.4 examples/sec; 0.089 sec/batch)
2017-06-02 15:31:47.771709: step 200, loss = 3.83 (1273.5 examples/sec; 0.101 sec/batch)
2017-06-02 15:31:48.527814: step 210, loss = 3.70 (1692.9 examples/sec; 0.076 sec/batch)
2017-06-02 15:31:49.405345: step 220, loss = 3.61 (1458.7 examples/sec; 0.088 sec/batch)
2017-06-02 15:31:50.284833: step 230, loss = 3.59 (1455.4 examples/sec; 0.088 sec/batch)
2017-06-02 15:31:51.158315: step 240, loss = 3.67 (1465.4 examples/sec; 0.087 sec/batch)
2017-06-02 15:31:52.035055: step 250, loss = 3.54 (1460.0 examples/sec; 0.088 sec/batch)
2017-06-02 15:31:52.908149: step 260, loss = 3.74 (1466.0 examples/sec; 0.087 sec/batch)
2017-06-02 15:31:53.785077: step 270, loss = 3.70 (1459.6 examples/sec; 0.088 sec/batch)
2017-06-02 15:31:54.663613: step 280, loss = 3.61 (1457.0 examples/sec; 0.088 sec/batch)
2017-06-02 15:31:55.551337: step 290, loss = 3.62 (1441.9 examples/sec; 0.089 sec/batch)
2017-06-02 15:31:56.569096: step 300, loss = 3.60 (1257.7 examples/sec; 0.102 sec/batch)
2017-06-02 15:31:57.329033: step 310, loss = 3.80 (1684.3 examples/sec; 0.076 sec/batch)
2017-06-02 15:31:58.205215: step 320, loss = 3.55 (1460.9 examples/sec; 0.088 sec/batch)
2017-06-02 15:31:59.078002: step 330, loss = 3.67 (1466.6 examples/sec; 0.087 sec/batch)
2017-06-02 15:31:59.940678: step 340, loss = 3.50 (1483.7 examples/sec; 0.086 sec/batch)
2017-06-02 15:32:00.812362: step 350, loss = 3.51 (1468.4 examples/sec; 0.087 sec/batch)
2017-06-02 15:32:01.700450: step 360, loss = 3.47 (1441.3 examples/sec; 0.089 sec/batch)
2017-06-02 15:32:02.590109: step 370, loss = 3.34 (1438.8 examples/sec; 0.089 sec/batch)
2017-06-02 15:32:03.484332: step 380, loss = 3.48 (1431.4 examples/sec; 0.089 sec/batch)
2017-06-02 15:32:04.369004: step 390, loss = 3.47 (1446.9 examples/sec; 0.088 sec/batch)
2017-06-02 15:32:05.388401: step 400, loss = 3.32 (1255.7 examples/sec; 0.102 sec/batch)
2017-06-02 15:32:06.164414: step 410, loss = 3.51 (1649.5 examples/sec; 0.078 sec/batch)
2017-06-02 15:32:07.050037: step 420, loss = 3.48 (1445.3 examples/sec; 0.089 sec/batch)
