Filling queue with 20000 CIFAR images before starting to train. This will take a few minutes.
2017-06-02 16:42:57.749040: step 0, loss = 4.67 (85.5 examples/sec; 1.497 sec/batch)
2017-06-02 16:42:58.527927: step 10, loss = 4.62 (1643.3 examples/sec; 0.078 sec/batch)
2017-06-02 16:42:59.453055: step 20, loss = 4.50 (1383.6 examples/sec; 0.093 sec/batch)
2017-06-02 16:43:00.380521: step 30, loss = 4.51 (1380.1 examples/sec; 0.093 sec/batch)
2017-06-02 16:43:01.313654: step 40, loss = 4.37 (1371.7 examples/sec; 0.093 sec/batch)
2017-06-02 16:43:02.270006: step 50, loss = 4.21 (1338.4 examples/sec; 0.096 sec/batch)
2017-06-02 16:43:03.212328: step 60, loss = 4.24 (1358.4 examples/sec; 0.094 sec/batch)
2017-06-02 16:43:04.140253: step 70, loss = 4.10 (1379.4 examples/sec; 0.093 sec/batch)
2017-06-02 16:43:05.083696: step 80, loss = 4.21 (1356.7 examples/sec; 0.094 sec/batch)
2017-06-02 16:43:06.033435: step 90, loss = 4.20 (1347.7 examples/sec; 0.095 sec/batch)
2017-06-02 16:43:07.113354: step 100, loss = 4.19 (1185.3 examples/sec; 0.108 sec/batch)
2017-06-02 16:43:07.950219: step 110, loss = 4.21 (1529.5 examples/sec; 0.084 sec/batch)
2017-06-02 16:43:08.898652: step 120, loss = 4.09 (1349.6 examples/sec; 0.095 sec/batch)
2017-06-02 16:43:09.776763: step 130, loss = 3.93 (1457.7 examples/sec; 0.088 sec/batch)
2017-06-02 16:43:10.723829: step 140, loss = 4.08 (1351.5 examples/sec; 0.095 sec/batch)
2017-06-02 16:43:11.690288: step 150, loss = 4.00 (1324.4 examples/sec; 0.097 sec/batch)
2017-06-02 16:43:12.623369: step 160, loss = 3.90 (1371.8 examples/sec; 0.093 sec/batch)
2017-06-02 16:43:13.589109: step 170, loss = 3.79 (1325.4 examples/sec; 0.097 sec/batch)
2017-06-02 16:43:14.498050: step 180, loss = 3.86 (1408.2 examples/sec; 0.091 sec/batch)
2017-06-02 16:43:15.438303: step 190, loss = 3.82 (1361.3 examples/sec; 0.094 sec/batch)
2017-06-02 16:43:16.501243: step 200, loss = 3.82 (1204.2 examples/sec; 0.106 sec/batch)
2017-06-02 16:43:17.325967: step 210, loss = 3.84 (1552.0 examples/sec; 0.082 sec/batch)
2017-06-02 16:43:18.236303: step 220, loss = 4.18 (1406.1 examples/sec; 0.091 sec/batch)
2017-06-02 16:43:19.142165: step 230, loss = 3.81 (1413.0 examples/sec; 0.091 sec/batch)
2017-06-02 16:43:20.104975: step 240, loss = 3.76 (1329.5 examples/sec; 0.096 sec/batch)
2017-06-02 16:43:21.061087: step 250, loss = 3.71 (1338.7 examples/sec; 0.096 sec/batch)
2017-06-02 16:43:22.009353: step 260, loss = 3.91 (1349.9 examples/sec; 0.095 sec/batch)
2017-06-02 16:43:22.911929: step 270, loss = 3.91 (1418.2 examples/sec; 0.090 sec/batch)
2017-06-02 16:43:23.835398: step 280, loss = 3.54 (1386.1 examples/sec; 0.092 sec/batch)
2017-06-02 16:43:24.765898: step 290, loss = 3.65 (1375.6 examples/sec; 0.093 sec/batch)
2017-06-02 16:43:25.823759: step 300, loss = 3.49 (1210.0 examples/sec; 0.106 sec/batch)
2017-06-02 16:43:26.659209: step 310, loss = 3.79 (1532.1 examples/sec; 0.084 sec/batch)
2017-06-02 16:43:27.565992: step 320, loss = 3.50 (1411.6 examples/sec; 0.091 sec/batch)
2017-06-02 16:43:28.532082: step 330, loss = 3.34 (1324.9 examples/sec; 0.097 sec/batch)
2017-06-02 16:43:29.475668: step 340, loss = 3.35 (1356.5 examples/sec; 0.094 sec/batch)
2017-06-02 16:43:30.411765: step 350, loss = 3.38 (1367.4 examples/sec; 0.094 sec/batch)
2017-06-02 16:43:31.343315: step 360, loss = 3.31 (1374.1 examples/sec; 0.093 sec/batch)
2017-06-02 16:43:32.238128: step 370, loss = 3.30 (1430.5 examples/sec; 0.089 sec/batch)
2017-06-02 16:43:33.148363: step 380, loss = 3.35 (1406.2 examples/sec; 0.091 sec/batch)
2017-06-02 16:43:34.070739: step 390, loss = 3.38 (1387.7 examples/sec; 0.092 sec/batch)
2017-06-02 16:43:35.124768: step 400, loss = 3.38 (1214.4 examples/sec; 0.105 sec/batch)
