Filling queue with 20000 CIFAR images before starting to train. This will take a few minutes.
Filling queue with 20000 CIFAR images before starting to train. This will take a few minutes.
2017-06-02 17:23:42.700013: step 0, loss = 4.67 (16.3 examples/sec; 7.872 sec/batch)
2017-06-02 17:23:43.888070: step 10, loss = 4.62 (2471.3 examples/sec; 0.052 sec/batch)
2017-06-02 17:23:44.985888: step 20, loss = 4.49 (2224.4 examples/sec; 0.058 sec/batch)
2017-06-02 17:23:46.037420: step 30, loss = 4.33 (2543.9 examples/sec; 0.050 sec/batch)
2017-06-02 17:23:47.069964: step 40, loss = 4.48 (2833.6 examples/sec; 0.045 sec/batch)
2017-06-02 17:23:48.073033: step 50, loss = 4.21 (2325.6 examples/sec; 0.055 sec/batch)
2017-06-02 17:23:49.114901: step 60, loss = 4.23 (2659.1 examples/sec; 0.048 sec/batch)
2017-06-02 17:23:50.167381: step 70, loss = 4.19 (2606.8 examples/sec; 0.049 sec/batch)
2017-06-02 17:23:51.224285: step 80, loss = 4.07 (2336.5 examples/sec; 0.055 sec/batch)
2017-06-02 17:23:52.229884: step 90, loss = 4.03 (2536.0 examples/sec; 0.050 sec/batch)
2017-06-02 17:23:53.245077: step 100, loss = 4.04 (2486.0 examples/sec; 0.051 sec/batch)
2017-06-02 17:23:54.345816: step 110, loss = 4.01 (2674.9 examples/sec; 0.048 sec/batch)
2017-06-02 17:23:55.324449: step 120, loss = 4.11 (2498.6 examples/sec; 0.051 sec/batch)
2017-06-02 17:23:56.282774: step 130, loss = 4.05 (2357.4 examples/sec; 0.054 sec/batch)
2017-06-02 17:23:57.649959: step 140, loss = 3.92 (1976.4 examples/sec; 0.065 sec/batch)
2017-06-02 17:23:58.891082: step 150, loss = 3.83 (1945.6 examples/sec; 0.066 sec/batch)
2017-06-02 17:24:00.125823: step 160, loss = 3.80 (2104.7 examples/sec; 0.061 sec/batch)
2017-06-02 17:24:01.085908: step 170, loss = 3.93 (2437.6 examples/sec; 0.053 sec/batch)
2017-06-02 17:24:02.211449: step 180, loss = 3.76 (1991.6 examples/sec; 0.064 sec/batch)
2017-06-02 17:24:03.496777: step 190, loss = 3.97 (1805.5 examples/sec; 0.071 sec/batch)
2017-06-02 17:24:04.843862: step 200, loss = 3.74 (1661.7 examples/sec; 0.077 sec/batch)
2017-06-02 17:24:06.229578: step 210, loss = 3.60 (2603.0 examples/sec; 0.049 sec/batch)
2017-06-02 17:24:07.254663: step 220, loss = 3.62 (1914.4 examples/sec; 0.067 sec/batch)
2017-06-02 17:24:08.223558: step 230, loss = 3.62 (2656.6 examples/sec; 0.048 sec/batch)
2017-06-02 17:24:09.254171: step 240, loss = 3.60 (2720.5 examples/sec; 0.047 sec/batch)
2017-06-02 17:24:10.267643: step 250, loss = 3.66 (3267.6 examples/sec; 0.039 sec/batch)
2017-06-02 17:24:11.267115: step 260, loss = 3.45 (2538.6 examples/sec; 0.050 sec/batch)
2017-06-02 17:24:12.272908: step 270, loss = 3.95 (2695.0 examples/sec; 0.047 sec/batch)
2017-06-02 17:24:13.303739: step 280, loss = 3.65 (2441.9 examples/sec; 0.052 sec/batch)
